id_empresa	id_formula	fecha	cant_producida	n_batches	cant_m_prima_usada	costo_m_prima_usada	costo_unitario_diario	id_usuario	fec_registro
01	PTCI150	29/07/1998 00:00:00	9000.000	5.000	8999.155	3153354.693	350.410	ERSS	24/08/1998 14:10:49:56
01	PTRL154	29/07/1998 00:00:00	7200.000	4.000	7210.308	2555636.296	354.440	ERSS	24/08/1998 14:10:50:22
01	PTCI164	29/07/1998 00:00:00	9000.000	5.000	9046.755	3121399.655	345.030	ERSS	24/08/1998 14:10:49:73
01	PTGR150	29/07/1998 00:00:00	57600.000	32.000	57683.992	20222486.429	350.570	ERSS	24/08/1998 14:10:50
01	PTRP174	29/07/1998 00:00:00	36000.000	20.000	36020.860	11829860.531	328.420	ERSS	24/08/1998 14:10:50:38
01	PTRL172	29/07/1998 00:00:00	7200.000	4.000	7182.748	2505782.922	348.860	ERSS	24/08/1998 14:10:50:27
01	PTRP134	29/07/1998 00:00:00	15400.000	11.000	15422.510	5013951.338	325.110	ERSS	24/08/1998 14:10:50:33
01	PTRP134	30/07/1998 00:00:00	5600.000	4.000	5604.640	1822430.509	325.160	ERSS	24/08/1998 14:12:11:51
01	PTCI160	30/07/1998 00:00:00	10800.000	6.000	10810.066	3719852.840	344.110	ERSS	24/08/1998 14:12:11:13
01	PTGR142	30/07/1998 00:00:00	9000.000	5.000	9047.390	3019777.492	333.770	ERSS	24/08/1998 14:12:11:24
01	PTCI161	30/07/1998 00:00:00	36000.000	20.000	35587.820	12170338.527	341.980	ERSS	24/08/1998 14:12:11:18
01	PTGR162	30/07/1998 00:00:00	72000.000	40.000	72115.840	24871363.938	344.880	ERSS	24/08/1998 14:12:11:29
01	PTGR174	30/07/1998 00:00:00	12600.000	7.000	12617.351	4138855.744	328.030	ERSS	24/08/1998 14:12:11:45
01	PTCI150	30/07/1998 00:00:00	27000.000	15.000	27035.465	9477417.548	350.560	ERSS	24/08/1998 14:12:11:02
01	PTGR170	30/07/1998 00:00:00	27000.000	15.000	27027.915	9078642.571	335.900	ERSS	24/08/1998 14:12:11:4
01	PTRP174	30/07/1998 00:00:00	36000.000	20.000	36028.860	11834481.921	328.470	ERSS	24/08/1998 14:12:11:56
01	PTCI151	30/07/1998 00:00:00	45000.000	25.000	45533.525	16075877.321	353.060	ERSS	24/08/1998 14:12:11:07
