id_empresa	cod_granja	id_semana	id_mes	id_year	cod_formula	bultos	kilos	costo	f_inicio	f_fin	id_usuario	fec_registro
01	044	2	6	1998	PTRL154	189	7560	2337854.40	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:00:36:3
01	057	2	6	1998	PTCI161	680	27200	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:34:29:15
01	042	2	6	1998	PTRP174	315	12600	3694698.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:52:24:39
01	016	2	6	1998	PTRP156	200	8000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:36:55:49
01	032	2	6	1998	PTGR130	1200	48000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:17:58:46
01	021	2	6	1998	PTRP134	170	6800	2051424.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:35:27:75
01	019	2	6	1998	PTGR180	75	3000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:21:33:05
01	032	2	6	1998	PTCI135	115	4600	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:18:53:11
01	025	2	6	1998	PTCI161	860	34400	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:16:58:59
01	029	2	6	1998	PTRL173	30	1200	371088.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:03:12:01
01	028	2	6	1998	PTCI170	100	4000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:26:01:36
01	018	2	6	1998	PTCI160	670	26800	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:05:17:46
01	053	2	6	1998	PTCI161	420	16800	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:13:01:91
01	024	2	6	1998	PTRP191	55	2200	615164.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:51:44:18
01	038	2	6	1998	PTRP191	35	1400	391468.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:50:38:87
01	047	2	6	1998	PTRP174	340	13600	3987928.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:56:39:13
01	018	2	6	1998	MAMP060	10	400	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:05:32:4
01	043	3	6	1998	PTCI170	330	13200	0	15/06/1998 00:00:00	20/06/1998 00:00:00	JEM	12/06/1998 08:51:46:38
01	028	3	6	1998	PTGR170	1600	64000	0	15/06/1998 00:00:00	20/06/1998 00:00:00	JEM	12/06/1998 08:47:56:13
01	025	3	6	1998	PTCI161	450	18000	0	15/06/1998 00:00:00	20/06/1998 00:00:00	JEM	12/06/1998 09:02:18:19
01	020	3	6	1998	PTCI171	120	4800	0	15/06/1998 00:00:00	20/06/1998 00:00:00	JEM	12/06/1998 09:02:44:83
01	049	3	6	1998	MAMP060	3	120	0	15/06/1998 00:00:00	20/06/1998 00:00:00	JEM	12/06/1998 09:01:13:7
01	053	3	6	1998	PTCI161	420	16800	0	15/06/1998 00:00:00	20/06/1998 00:00:00	JEM	12/06/1998 08:22:30:41
01	051	3	6	1998	PTRP191	75	3000	838860.00	15/06/1998 00:00:00	20/06/1998 00:00:00	JEM	12/06/1998 08:42:07:3
01	048	3	6	1998	PTRP134	125	5000	1489600.00	15/06/1998 00:00:00	20/06/1998 00:00:00	JEM	12/06/1998 08:10:44:51
01	054	3	6	1998	PTRP191	65	2600	727012.00	15/06/1998 00:00:00	20/06/1998 00:00:00	JEM	12/06/1998 08:47:19:61
01	043	3	6	1998	MAMP060	4	160	0	15/06/1998 00:00:00	20/06/1998 00:00:00	JEM	12/06/1998 08:52:18:62
01	020	3	6	1998	PTCI151	300	12000	0	15/06/1998 00:00:00	20/06/1998 00:00:00	JEM	12/06/1998 09:03:33:71
